,logpop,loginv,pop,family.name,area,inv,language
142,15.9213507,3.713572067,8214000,Atlantic-Congo,Africa,40,Akan
143,13.52114084,3.871201011,745000,Atlantic-Congo,Africa,47,Ga
145,16.70632394,4.189654742,18007950,Atlantic-Congo,Africa,65,Igbo
146,11.51293546,3.737669618,1.00E+05,Atlantic-Congo,Africa,41,Beembe
147,16.58759984,3.610917913,15992010,Atlantic-Congo,Africa,36,Swahili
148,16.58766237,3.610917913,15993010,Atlantic-Congo,Africa,36,Swahili
149,13.36138185,3.610917913,635000,Atlantic-Congo,Africa,36,Luvale
150,16.28124297,3.784189634,11772100,Atlantic-Congo,Africa,43,Zulu
153,15.23197058,3.583518938,4122500,NA,NA,35,Kanuri
156,0.693147181,3.583518938,1,NA,NA,35,Luo
157,14.19051715,3.784189634,1455000,NA,NA,43,Maasai
158,7.090909822,3.526360525,1200,Khoe-Kwadi,Africa,33,Nama
160,12.2356363,3.761200116,206000,Indo-European,Eurasia,42,Breton
161,12.65664177,3.688879454,313840,Indo-European,Eurasia,39,Icelandic
162,15.46287046,3.891820298,5193250,Indo-European,Eurasia,48,Norwegian
163,19.73429664,3.713572067,371959910,Indo-European,Eurasia,40,English
165,18.14751192,3.713572067,76096430,Indo-European,Eurasia,40,French
166,19.20351081,3.663561646,218765470,Indo-European,Eurasia,38,Portuguese
167,19.89468317,3.258096538,436667750,Indo-European,Eurasia,25,Spanish
169,18.84994383,3.663561646,153612510,Indo-European,Eurasia,38,Russian
170,15.90349315,3.912023005,8068620,Indo-European,Eurasia,49,Bulgarian
171,14.93705489,3.871201011,3069590,Indo-European,Eurasia,47,Lithuanian
172,15.22219095,3.583518938,4082380,NA,NA,35,Albanian
174,15.45831381,3.63758616,5169640,NA,NA,37,Armenian
175,17.94150592,3.433987204,61929420,NA,NA,30,Persian
180,19.3057493,3.988984047,242315050,Indo-European,Eurasia,53,Bengali
182,13.20228485,3.36729583,541600,,Eurasia,28,Basque
183,15.50438441,3.761200116,5413380,Uralic,Eurasia,42,Finnish
185,12.29728809,3.610917913,219100,NA,NA,36,Komi
186,16.34893281,4.189654742,12596540,Uralic,Eurasia,65,Hungarian
189,18.07936117,3.713572067,71083170,Turkic,Eurasia,40,Turkish
190,16.95968616,3.555348061,23200540,NA,NA,34,Azerbaijani
192,13.89247253,3.688879454,1080000,Turkic,Eurasia,39,Chuvash
193,13.01700508,3.912023005,450000,NA,NA,49,Yakut
195,8.641355834,3.610917913,5660,Tungusic,Eurasia,36,Even
197,5.303304908,3.80666249,200,NA,NA,44,Gilyak
198,8.537191878,3.135494216,5100,Chukotko-Kamchatkan,Eurasia,22,Chukchi
199,2.397895273,2.890371758,10,NA,NA,17,Ainu
200,8.790421307,2.890371758,6570,NA,NA,17,Ainu
201,18.66905031,3.713572067,128193360,Japonic,Eurasia,40,Japanese
856,9.205428328,4.110873864,9950,Atlantic-Congo,Africa,60,Fwe
857,9.12489141,4.510859507,9180,Atlantic-Congo,Africa,90,Yeyi
859,1.098612289,3.401197382,2,Arawakan,South America,29,Chamicuro
860,14.21850662,3.80666249,1496300,Nakh-Daghestanian,Eurasia,44,Chechen
861,10.7893397,3.218875825,48500,Sino-Tibetan,Eurasia,24,Chepang
865,8.853808275,3.526360525,7000,Austroasiatic,Eurasia,33,Chrau
868,4.615120517,2.944438979,100,Uto-Aztecan,North America,18,Comanche
870,8.517393171,3.401197382,5000,Afro-Asiatic,Africa,29,Cuvok
871,9.323758339,3.433987204,11200,Atlantic-Congo,Africa,30,Denya
874,7.170888479,3.135494216,1300,Nuclear Trans New Guinea,Papunesia,22,Usarufa
876,5.888877958,2.833213344,360,Nuclear Trans New Guinea,Papunesia,16,Binumarien
877,11.84940484,3.761200116,140000,Atlantic-Congo,Africa,42,Eggon
878,10.30898599,3.63758616,30000,Atlantic-Congo,Africa,37,Ekpeye
880,9.903537551,3.63758616,20000,Atlantic-Congo,Africa,37,Esimbi
882,9.680406499,3.737669618,16000,Central Sudanic,Africa,41,Furu
884,12.76569129,3.465735903,350000,Atlantic-Congo,Africa,31,Gbari
885,10.84155935,3.17805383,51100,Nuclear Trans New Guinea,Papunesia,23,Golin
887,7.107425474,3.218875825,1220,NA,NA,24,Gunwinggu
888,14.36939625,3.401197382,1740000,Atlantic-Congo,Africa,29,Haya
890,10.77060905,3.258096538,47600,Uto-Aztecan,North America,25,Huichol
892,9.305741457,3.218875825,11000,NA,NA,24,"Huave, San Mateo del Mar"
895,11.00211651,3.663561646,60000,Ijoid,Africa,38,Ibani
896,5.525452939,3.17805383,250,Border,Papunesia,23,Imonda
897,12.68510105,3.891820298,322900,Nakh-Daghestanian,Eurasia,48,Ingush
898,6.042632834,2.944438979,420,NA,NA,18,Isaka
902,7.490529402,4.127134385,1790,NA,NA,61,Jemez
904,15.5357742,3.433987204,5586000,Afro-Asiatic,Africa,30,Kabyle
907,6.867974409,3.401197382,960,Nuclear Torricelli,Papunesia,29,Kamasau
912,11.08215793,3.737669618,65000,Atlantic-Congo,Africa,41,Kenyang
913,12.38939787,3.871201011,240240,Austroasiatic,Eurasia,47,Kharia
914,6.216606101,3.713572067,500,NA,NA,40,Chong
