"duration","f0slope","f0peak","intensity","f1","stress","f0mean"
0.248,"78.4313725490198","126","70","724","n",120
0.152,"161.290322580645","135","76","313","n",127
0.16,"52.6315789473681","112","72","323","y",110
0.153,"137.68115942029","139","70","620","n",130
0.148,"-69.7674418604649","101","74","353","y",97
0.059,"-292.682926829278","90","65","594","n",84
0.15,"-66.1764705882353","107","75","409","y",101
0.066,"-156.862745098039","90","64","716","n",85
0.137,"88.495575221239","111","74","489","y",107
0.048,"500","104","71","742","n",98
0.121,"68.6274509803921","115","77","628","y",111
0.084,"-183.333333333334","97","72","682","n",89
0.151,"82.6446280991736","134","81","661","n",128
0.097,"-235.294117647059","146","80","727","y",143
0.1,"82.3529411764705","163","78","586","n",160
0.049,"305.555555555555","199","77","742","n",192
0.111,"70.5882352941177","119","78","708","y",115
0.087,"-120","94","72","785","n",91
0.055,"-100.000000000001","90","57","1173","n",89
0.1,"-307.692307692308","116","72","475","n",106
